15	3335.17118	5321.358189	7009.170687;
14	3322.182999	5318.868865	7015.880803;
13	3305.759791	5312.930746	7020.234891;
12	3284.928735	5302.028029	7020.657622;
11	3258.360795	5283.925225	7014.636432;
10	3224.19944	5255.271108	6998.105576;
9	3179.783535	5210.952787	6964.379178;
8	3121.183805	5143.027419	6902.285523;
7	3042.401324	5038.943827	6792.921219;
6	2933.942026	4878.611723	6604.212347;
5	2780.251356	4629.79994	6282.801609;
4	2555.253082	4241.922569	5745.74333;
3	2215.861235	3641.464848	4884.397595;
2	1698.985197	2742.224059	3607.175608;
1	947.3918019	1497.98728	1925.801634;
0	0	0	0;
-1	-947.3918019	-1497.98728	-1925.801634;
-2	-1698.985197	-2742.224059	-3607.175608;
-3	-2215.861235	-3641.464848	-4884.397595;
-4	-2555.253082	-4241.922569	-5745.74333;
-5	-2780.251356	-4629.79994	-6282.801609;
-6	-2933.942026	-4878.611723	-6604.212347;
-7	-3042.401324	-5038.943827	-6792.921219;
-8	-3121.183805	-5143.027419	-6902.285523;
-9	-3179.783535	-5210.952787	-6964.379178;
-10	-3224.19944	-5255.271108	-6998.105576;
-11	-3258.360795	-5283.925225	-7014.636432;
-12	-3284.928735	-5302.028029	-7020.657622;
-13	-3305.759791	-5312.930746	-7020.234891;
-14	-3322.182999	-5318.868865	-7015.880803;
-15	-3335.17118	-5321.358189	-7009.170687
